date,description,merchant,amount,type,category
2026-06-01,Salary credit - Anita,TCS,97900,credit,Salary/Income
2026-06-02,Salary credit - spouse,Cognizant,111800,credit,Salary/Income
2026-06-03,Apartment rent,Landlord,34000,debit,Bills
2026-06-03,Cab rides,Ola,716,debit,Transport
2026-06-04,Groceries,Zepto,15650,debit,Food
2026-06-05,Maid and cook,Household help,6900,debit,Bills
2026-06-05,Wedding loan EMI,Federal Bank,19350,debit,EMI/Loan
2026-06-06,Home down-payment savings,HDFC Savings,40100,debit,Investments
2026-06-06,Mutual fund SIP,Coin,20050,debit,Investments
2026-06-07,PPF deposit,SBI,8000,debit,Investments
2026-06-07,Weekend trip,Airbnb,11365,debit,Entertainment
2026-06-08,Dining out,Truffles,2026,debit,Food
2026-06-09,Electricity and water,BESCOM,2600,debit,Bills
2026-06-10,Broadband,ACT Fibernet,1099,debit,Bills
2026-06-16,Health checkup,Practo,1261,debit,Healthcare
2026-06-18,Health checkup,Practo,1750,debit,Healthcare
2026-06-20,Furniture purchase,Pepperfry,3777,debit,Shopping
2026-06-25,Weekend trip,Airbnb,4600,debit,Entertainment
2026-07-01,Salary credit - Anita,TCS,98200,credit,Salary/Income
2026-07-02,Salary credit - spouse,Cognizant,112000,credit,Salary/Income
2026-07-03,Apartment rent,Landlord,34100,debit,Bills
2026-07-03,Weekend trip,Airbnb,10273,debit,Entertainment
2026-07-04,Groceries,Zepto,15500,debit,Food
2026-07-05,Maid and cook,Household help,7150,debit,Bills
2026-07-05,Wedding loan EMI,Federal Bank,19400,debit,EMI/Loan
2026-07-06,Home down-payment savings,HDFC Savings,39900,debit,Investments
2026-07-06,Mutual fund SIP,Coin,20100,debit,Investments
2026-07-07,PPF deposit,SBI,8100,debit,Investments
2026-07-08,Furniture purchase,Pepperfry,9279,debit,Shopping
2026-07-09,Electricity and water,BESCOM,2600,debit,Bills
2026-07-10,Broadband,ACT Fibernet,1099,debit,Bills
2026-07-11,Furniture purchase,Pepperfry,6888,debit,Shopping
2026-07-12,Health checkup,Practo,1983,debit,Healthcare
2026-07-12,Weekend trip,Airbnb,8554,debit,Entertainment
2026-07-15,Dining out,Truffles,964,debit,Food
2026-07-16,Cab rides,Ola,1238,debit,Transport
2026-07-23,Health checkup,Practo,1769,debit,Healthcare
2026-08-01,Salary credit - Anita,TCS,97900,credit,Salary/Income
2026-08-02,Dining out,Truffles,1904,debit,Food
2026-08-02,Salary credit - spouse,Cognizant,112200,credit,Salary/Income
2026-08-03,Apartment rent,Landlord,33950,debit,Bills
2026-08-04,Groceries,Zepto,15650,debit,Food
2026-08-05,Furniture purchase,Pepperfry,11192,debit,Shopping
2026-08-05,Maid and cook,Household help,7100,debit,Bills
2026-08-05,Wedding loan EMI,Federal Bank,19600,debit,EMI/Loan
2026-08-06,Home down-payment savings,HDFC Savings,39950,debit,Investments
2026-08-06,Mutual fund SIP,Coin,20150,debit,Investments
2026-08-07,PPF deposit,SBI,8150,debit,Investments
2026-08-08,Cab rides,Ola,687,debit,Transport
2026-08-09,Electricity and water,BESCOM,2600,debit,Bills
2026-08-10,Broadband,ACT Fibernet,1099,debit,Bills
2026-08-10,Weekend trip,Airbnb,5335,debit,Entertainment
2026-08-14,Weekend trip,Airbnb,11899,debit,Entertainment
2026-08-15,Cab rides,Ola,908,debit,Transport
2026-08-15,Health checkup,Practo,2404,debit,Healthcare
2026-08-18,Furniture purchase,Pepperfry,16697,debit,Shopping
