date,description,merchant,amount
2026-06-02,Room rent,Landlord,(6600)
2026-06-03,Money sent home,Family transfer,(4787)
2026-06-03,Weekly payout,Swiggy Partner,6150
2026-06-04,Mess food,Local mess,(3600)
2026-06-05,Bike loan EMI,Bajaj Finserv,(3400)
2026-06-06,Bike petrol,Indian Oil,(4800)
2026-06-08,Mobile data pack,Airtel,(299)
2026-06-09,Bike servicing,Hero Service,(1566)
2026-06-10,Weekly payout,Swiggy Partner,5850
2026-06-16,Medicine,Local pharmacy,(440)
2026-06-17,Weekly payout,Zomato Partner,6550
2026-06-22,Tea stall,Chai point,(90)
2026-06-24,Weekly payout,Zomato Partner,5400
2026-06-27,Incentive bonus,Swiggy Partner,2250
2026-07-02,Room rent,Landlord,(6600)
2026-07-03,Money sent home,Family transfer,(5421)
2026-07-03,Weekly payout,Swiggy Partner,6150
2026-07-04,Medicine,Local pharmacy,(398)
2026-07-04,Mess food,Local mess,(3600)
2026-07-05,Bike loan EMI,Bajaj Finserv,(3400)
2026-07-06,Bike petrol,Indian Oil,(4800)
2026-07-08,Mobile data pack,Airtel,(299)
2026-07-09,Tea stall,Chai point,(46)
2026-07-10,Bike servicing,Hero Service,(1912)
2026-07-10,Weekly payout,Swiggy Partner,5750
2026-07-11,Tea stall,Chai point,(114)
2026-07-17,Weekly payout,Zomato Partner,6650
2026-07-20,Medicine,Local pharmacy,(481)
2026-07-24,Weekly payout,Zomato Partner,5350
2026-07-27,Incentive bonus,Swiggy Partner,2150
2026-08-02,Room rent,Landlord,(6650)
2026-08-03,Bike servicing,Hero Service,(1270)
2026-08-03,Weekly payout,Swiggy Partner,6200
2026-08-04,Mess food,Local mess,(3600)
2026-08-05,Bike loan EMI,Bajaj Finserv,(3400)
2026-08-05,Money sent home,Family transfer,(3970)
2026-08-06,Bike petrol,Indian Oil,(4800)
2026-08-08,Mobile data pack,Airtel,(299)
2026-08-08,Tea stall,Chai point,(44)
2026-08-10,Bike servicing,Hero Service,(2246)
2026-08-10,Weekly payout,Swiggy Partner,5750
2026-08-15,Tea stall,Chai point,(87)
2026-08-16,Medicine,Local pharmacy,(339)
2026-08-17,Weekly payout,Zomato Partner,6600
2026-08-24,Weekly payout,Zomato Partner,5400
2026-08-27,Incentive bonus,Swiggy Partner,2200
2026-08-27,Medicine,Local pharmacy,(642)
