date,description,merchant,amount,type,category
2026-06-01,Salary credit,Taj Hotels,64200,credit,Salary/Income
2026-06-03,House rent,Landlord,14150,debit,Bills
2026-06-04,Groceries,Big Bazaar,11450,debit,Food
2026-06-05,Gold loan EMI,Muthoot Finance,9550,debit,EMI/Loan
2026-06-06,Children school fees,St Joseph School,8400,debit,Education
2026-06-09,Electricity bill,KSEB,2100,debit,Bills
2026-06-14,LIC premium,LIC,2600,debit,Bills
2026-06-16,Family dinner,Paragon,1125,debit,Food
2026-06-18,Doctor visit,Aster Clinic,472,debit,Healthcare
2026-06-18,Service charge share,Taj Hotels,8800,credit,Salary/Income
2026-06-23,Bike petrol,HP Petrol,1744,debit,Transport
2026-06-23,Kids clothing,FirstCry,1350,debit,Shopping
2026-06-27,Kids clothing,FirstCry,1719,debit,Shopping
2026-07-01,Salary credit,Taj Hotels,64100,credit,Salary/Income
2026-07-03,House rent,Landlord,14050,debit,Bills
2026-07-04,Family dinner,Paragon,1232,debit,Food
2026-07-04,Groceries,Big Bazaar,11450,debit,Food
2026-07-05,Gold loan EMI,Muthoot Finance,9450,debit,EMI/Loan
2026-07-06,Children school fees,St Joseph School,8350,debit,Education
2026-07-09,Electricity bill,KSEB,2100,debit,Bills
2026-07-10,Kids clothing,FirstCry,2292,debit,Shopping
2026-07-13,Bike petrol,HP Petrol,1285,debit,Transport
2026-07-14,LIC premium,LIC,2600,debit,Bills
2026-07-18,Service charge share,Taj Hotels,8900,credit,Salary/Income
2026-07-20,Bike petrol,HP Petrol,1004,debit,Transport
2026-07-21,Doctor visit,Aster Clinic,745,debit,Healthcare
2026-08-01,Salary credit,Taj Hotels,64200,credit,Salary/Income
2026-08-03,House rent,Landlord,14050,debit,Bills
2026-08-04,Groceries,Big Bazaar,11600,debit,Food
2026-08-04,Kids clothing,FirstCry,1352,debit,Shopping
2026-08-05,Gold loan EMI,Muthoot Finance,9550,debit,EMI/Loan
2026-08-06,Children school fees,St Joseph School,8350,debit,Education
2026-08-08,Family dinner,Paragon,2004,debit,Food
2026-08-09,Electricity bill,KSEB,2100,debit,Bills
2026-08-11,Family dinner,Paragon,2019,debit,Food
2026-08-14,LIC premium,LIC,2600,debit,Bills
2026-08-15,Bike petrol,HP Petrol,969,debit,Transport
2026-08-18,Kids clothing,FirstCry,709,debit,Shopping
2026-08-18,Service charge share,Taj Hotels,9000,credit,Salary/Income
2026-08-19,Doctor visit,Aster Clinic,1028,debit,Healthcare
2026-08-24,Bike petrol,HP Petrol,1444,debit,Transport
