date,description,merchant,amount,type,category
2026-06-02,Cafe meeting,Blue Tokai,491,debit,Food
2026-06-02,Cafe meeting,Blue Tokai,339,debit,Food
2026-06-02,Studio apartment rent,Landlord,20950,debit,Bills
2026-06-04,Groceries,Zepto,7600,debit,Food
2026-06-04,Props and lighting,Amazon,1229,debit,Shopping
2026-06-05,Camera equipment EMI,Bajaj Finserv,6350,debit,EMI/Loan
2026-06-05,Shoot location travel,Uber,847,debit,Transport
2026-06-07,Editing software subscription,Adobe,1675,debit,Entertainment
2026-06-08,Index fund SIP,Zerodha Coin,5000,debit,Investments
2026-06-09,Broadband,ACT Fibernet,1199,debit,Bills
2026-06-10,Swiggy order,Swiggy,522,debit,Food
2026-06-12,Brand deal payment,Boat Lifestyle,35200,credit,Salary/Income
2026-06-12,Props and lighting,Amazon,3773,debit,Shopping
2026-06-21,YouTube AdSense payout,Google,40800,credit,Salary/Income
2026-07-02,Studio apartment rent,Landlord,21150,debit,Bills
2026-07-04,Groceries,Zepto,7550,debit,Food
2026-07-05,Camera equipment EMI,Bajaj Finserv,6150,debit,EMI/Loan
2026-07-07,Editing software subscription,Adobe,1675,debit,Entertainment
2026-07-08,Index fund SIP,Zerodha Coin,5000,debit,Investments
2026-07-09,Broadband,ACT Fibernet,1199,debit,Bills
2026-07-10,Shoot location travel,Uber,1017,debit,Transport
2026-07-12,Brand deal payment,Boat Lifestyle,35100,credit,Salary/Income
2026-07-14,Cafe meeting,Blue Tokai,432,debit,Food
2026-07-16,Cafe meeting,Blue Tokai,569,debit,Food
2026-07-16,Swiggy order,Swiggy,771,debit,Food
2026-07-21,Props and lighting,Amazon,975,debit,Shopping
2026-07-21,YouTube AdSense payout,Google,41200,credit,Salary/Income
2026-07-24,Swiggy order,Swiggy,262,debit,Food
2026-07-27,Props and lighting,Amazon,3473,debit,Shopping
2026-08-02,Studio apartment rent,Landlord,20950,debit,Bills
2026-08-04,Groceries,Zepto,7500,debit,Food
2026-08-05,Camera equipment EMI,Bajaj Finserv,6300,debit,EMI/Loan
2026-08-07,Cafe meeting,Blue Tokai,369,debit,Food
2026-08-07,Editing software subscription,Adobe,1675,debit,Entertainment
2026-08-08,Index fund SIP,Zerodha Coin,5000,debit,Investments
2026-08-08,Shoot location travel,Uber,652,debit,Transport
2026-08-09,Broadband,ACT Fibernet,1199,debit,Bills
2026-08-12,Brand deal payment,Boat Lifestyle,34800,credit,Salary/Income
2026-08-17,Swiggy order,Swiggy,665,debit,Food
2026-08-18,Props and lighting,Amazon,3122,debit,Shopping
2026-08-21,YouTube AdSense payout,Google,40800,credit,Salary/Income
2026-08-27,Swiggy order,Swiggy,305,debit,Food
